Keyword,Year,Month,Number of articles
경제,2020,1,194000
경제,2020,2,98500
경제,2020,3,190000
경제,2020,4,206000
경제,2020,5,112000
경제,2020,6,232000
경제,2020,7,242000
경제,2020,8,234000
경제,2020,9,118000
경제,2020,10,247000
경제,2020,11,242000
경제,2020,12,245000
경제,2021,1,118000
경제,2021,2,256000
경제,2021,3,263000
경제,2021,4,137000
경제,2021,5,279000
경제,2021,6,294000
경제,2021,7,299000
경제,2021,8,145000
경제,2021,9,289000
경제,2021,10,294000
경제,2021,11,305000
경제,2021,12,152000
경제,2022,1,318000
경제,2022,2,349000
경제,2022,3,184000
경제,2022,4,4630000
경제,2022,5,4470000
경제,2022,6,4740000
경제,2022,7,200000
경제,2022,8,4940000
경제,2022,9,5140000
경제,2022,10,5370000
경제,2022,11,220000
경제,2022,12,5710000
